id,date,customer,product,category,price,quantity
1,2026-01-03,Alice,Laptop,Electronics,899.99,1
2,2026-01-03,Bob,Wireless Mouse,Electronics,25.50,2
3,2026-01-04,Charlie,Coffee Mug,Kitchen,12.00,3
4,2026-01-04,Alice,Mechanical Keyboard,Electronics,75.00,1
5,2026-01-05,David,Office Chair,Furniture,150.00,1
6,2026-01-05,Eva,Notebook,Stationery,5.99,5
7,2026-01-06,Bob,USB Cable,Electronics,8.50,4
8,2026-01-06,Frank,Desk Lamp,Furniture,35.00,2
9,2026-01-07,Alice,Monitor,Electronics,249.99,2
10,2026-01-07,Grace,Coffee Beans,Kitchen,14.50,3
11,2026-01-08,David,Pen Set,Stationery,9.99,2
12,2026-01-08,Eva,Headphones,Electronics,79.99,1
13,2026-01-09,Charlie,Water Bottle,Kitchen,18.00,2
14,2026-01-09,Bob,Webcam,Electronics,54.99,1
15,2026-01-10,Frank,Bookshelf,Furniture,120.00,1
16,2026-01-10,Alice,USB Hub,Electronics,22.99,2
17,2026-01-11,Grace,Planner,Stationery,11.50,4
18,2026-01-11,David,Keyboard,Electronics,45.00,1
19,2026-01-12,Eva,Office Desk,Furniture,250.00,1
20,2026-01-12,Charlie,Tea Cup,Kitchen,10.00,4
